TE175,LFXVI,,CBAF,M266,9MU 16-5-45 587S 3-8-45 691S 20-6-46 RFS Exeter 20-3-51 nea 13-5-53 C5 25-7-53
TE176,LFXVI,,CBAF,M266,6MU 16-5-45 61OTU 5-2-46 Nose-tipped while running up Keevil FAAC 26-2-47 ros recat E SOC 29-5-47
TE177,LFXVI,,CBAF,M266,6MU 18-5-45 61OTU 14-1-46 FAAC 22-8-46 ros SOC 16-7-49
TE178,LFXVI,,CBAF,M266,6MU 24-5-45 2APS 16-2-46 1OFU 29-10-52 MedAF 28-11-52 HQ Home CommSqn 7-9-53 nes 13-12-54 sold scrap Lawsons Metals 15-5-56
TE179,LFXVI,,CBAF,M266,9MU 18-5-45 587S 20-8-45 691S 20-6-46 Swung on landing Chivenor CB 17-10-46 recat E SOC scrap dump 22-5-47
TE180,LFXVI,,CBAF,M266,9MU 23-5-45 695S 30-8-45 wheels up landing CAC Horsham St.Faith 21-6-48 recat E 23-7-48
TE181,LFXVI,,CBAF,M266,9MU 15-5-45 631S 9-8-45 Engine cut bellylanded at Rednal CB 8-7-46 recat E 11-7-46 SOC 1-10-46
TE182,LFXVI,,CBAF,M266,6MU 17-5-45 61OTU 14-1-46 FAAC 16-3-49 ros C5R scrap 24-1-50
TE183,LFXVI,,CBAF,M266,6MU 23-5-45 61OTU 17-1-46 stalled crashed attempt landing Keevil pilot killed CE 22-3-46 SOC
TE184,LFXVI,CBAF.IX.4394,CBAF,M266,MU 23-5-45 ? 203AFS 1-7-47 226OCU 14-6-49 607S to 6850M 1855ATC To Belfast Extant as G-MXVI
TE185,LFXVI,,CBAF,M266,9MU 23-5-45 695S 20-8-45 force-landing crashed nr Horsham St.Faith CB 25-8-47 recat E SOC scrap 11-9-47
TE186,LFXVI,,CBAF,M266,9MU 24-4-45 CGS 11-7-45 scrap 9-2-50
TE187,LFXVI,,CBAF,M266,19MU 23-4-45 411S 7-6-45 401S 28-6-45 1PAFU 18-8-47 1FRS 12-11-49 C3R ros nea 13-5-53 C5 scrap 20-7-53
TE188,LFXVI,,CBAF,M266,19MU 12-4-45 317S 13-5-46 bou sold scrap 3-9-47
TE189,LFXVI,,CBAF,M266,"29MU 20-4-45 604S ""NG-H"" 16-6-47 TAAC 16-4-49 ros Fly Wing Debden 15-11-50 nea 22-10-53 sold scrap R.J.Coley 3-3-54"
TE190,LFXVI,,CBAF,M266,VAHP 21-4-45 trials aircraft Metal elev with 6in beading each side 16-5-45 33MU 19-6-45 61OTU 16-1-46 203AFS Dived into sea nr Chivenor pilot killed CE 25-3-49
TE191,LFXVI,,CBAF,M266,"6MU 18-4-45 416S 10-5-45 83GDC 20-9-45 349S ""GE-G"" 1-1-46 AM(PR8) 12-2-46 FAAC 18-10-46 412RSU RHAF 22-2-49"
TE192,LFXVI,,CBAF,M266,29MU 24-4-45 CGS 19-7-45 SOC dbr 27-6-46
TE193,LFXVI,,CBAF,M266,29MU 13-1-45 2TAFCS 5-7-45 CFS 29-4-49 eng fail overshot force-landing South Cerney CE 1-7-49 cat scrap 25-10-49
TE194,LFXVI,,CBAF,M266,29MU 24-4-45 CGS 19-7-45 scrap 3-2-50
TE195,LFXVI,,CBAF,M266,19MU 23-4-45 412S 7-6-45 402S 28-6-45 61OTU 6-2-46 sold scrap bou 3-9-47
TE196,LFXVI,,CBAF,M266,29MU 24-4-45 CGS 20-7-45 11AGS 30-4-47 203AFS 25-8-48 scrap 24-1-50
TE197,HFIX,,CBAF,M70,"39MU 16-5-45 122S 29-8-45 RDAF as ""432"" 31-5-48"
TE198,LFXVI,,CBAF,M266,6MU 27-4-45 411S 7-6-45 Collided with TB888 while taxying Reinsehien FAAC 4-7-45 410RSU
TE199,LFXVIe,,CBAF,M266,19MU 23-4-45 412S 7-6-45 402S 28-6-45 Staff College White Waltham 25-7-46 FAAC 12-9-46 ros 21GCF FTC AOC personal transport (glossy black gold trim overall) to 6603M 30-12-48 SoH FFS gate guardian 6-55
TE200,LFXVI,,CBAF,M266,19MU 23-4-45 411S 7-6-45 401S 28-6-45 CFS 21-8-47 sold scrap J.Dale 8-6-50
TE201,LFXVI,,CBAF,M266,19MU 20-4-45 411S 7-6-45 401S 28-6-45 SOC 30-5-46
TE202,LFXVI,,CBAF,M266,"19MU 20-4-45 412S 7-6-45 402S 28-6-45 MacLarens HAL 27-3-46 65S ""UB-B"" 17-7-46 164S 18-7-46 63S 3-9-46 631S 16-6-48 sold scrap J.Dale 30-12-49"
TE203,LFXVI,,CBAF,M266,19MU 28-4-45 411S 7-6-45 401S 28-6-45 1PRFU 14-7-47 101FRS 17-2-50 C5 14-9-54
TE204,LFXVI,,CBAF,M266,"19MU 23-4-45 411S FAAC 31-5-45 ros 601S ""HT-J"" 9-6-47 FAAC 23-4-49 ros 103FRS 16-5-51 nes 13-12-54 sold scrap Lawsons Metals 15-5-56"
TE205,HFIX,,CBAF,M70,33MU 15-5-45 Pershore 29-7-47 SAAF 26-8-47
TE206,LFXVI,,CBAF,M266,"19MU 25-4-45 421S 5-7-45 302S 6-9-45 317S ""JH-A"" 11-10-45 bou sold scrap 3-9-47"
TE207,LFXVI,,CBAF,M266,29MU 24-4-45 CGS 19-7-45 to 6272M 19-2-47 cancel 6SoTT 25-3-47 SOC 17-7-52
TE208,LFXVI,,CBAF,M266,"29MU 20-4-45 411S 7-6-45 401S 28-6-45 308S GAAC 23-10-45 614S ""RAU-F"" 2-6-47 604S 30-9-48 RCMSU mods 10-4-49 RAF College Lindholme 2-2-50 nes 4-6-54 sold scrap British Aluminium 22-10-56"
TE209,LFXVI,,CBAF,M266,29MU 25-4-45 CGS 19-7-45 struck by Martinet EM438 on ground Leconfield CB 14-1-46 recat E SOC 23-1-46
TE210,LFXVI,,CBAF,M266,19MU 27-4-45 VA 10-5-45 631S 11-8-45 flew into high ground Minera Mount nr Wrexham CE 31-8-45 SOC 13-9-45
TE211,HFIX,,CBAF,M70,33MU 23-5-45 122S 16-8-45 SAAF 16-5-47
TE212,HFIX,,CBAF,M70,33MU 23-5-45 Pershore 1-7-47 SAAF 4-7-47
TE213,HFIX,,CBAF,M70,"33MU 23-5-45 Pershore 1-7-47 SAAF 4-7-47 extant as ""5518"" SAAF Museum Lanseria"
TE214,LFXVIe,CBAF4424,CBAF,M266,"MU 27-4-45 ? RAF Ternhill as ""TE353"" extant Canada War Museum"
TE215,HFIX,,CBAF,M70,"tear drop canopy 39MU 18-5-45 234S 12-10-45 130S ""AP-A"" 7-2-46 6MU 17-10-46 SAAF 22-8-47"
TE228,LFXVI,,CBAF,M266,6MU 25-4-45 411S 7-6-45 401S 28-6-45 61OTU 8-3-46 SOC 4-2-47
TE229,LFXVI,,CBAF,M266,9MU 27-4-45 CGS 11-7-45 air collision with Wellington BK214 of CGS crashed E Yorks pilot killed CE 27-6-46 SOC
TE230,HFIX,,CBAF,M70,39MU 18-5-45 234S 12-10-45 130S 7-2-46 Pershore 6-5-47 SAAF 27-8-47
TE231,HFIX,,CBAF,M70,"39MU 17-5-45 122S 30-8-45 RDAF as ""433"" 31-5-48"
TE232,HFIX,,CBAF,M70,39MU 16-5-45 122S 30-8-45 SAAF 12-8-47
TE233,HFIX,,CBAF,M70,"39MU 16-5-45 122S 11-8-45 FAAC 6-9-45 ros RDAF as ""434"" 28-5-48"
TE234,HFIX,,CBAF,M70,39MU 17-5-45 122S 29-8-45 41S 11-4-46 SAAF 22-5-47
TE235,LFXVI,,CBAF,M266,19MU 30-4-45 RHAF 7-6-49
TE236,HFIX,,CBAF,M70,"39MU 17-5-45 122S 11-8-45 RDAF as ""435"" 31-3-48"
TE237,LFXVI,,CBAF,M266,19MU 30-4-45 SOC 28-8-46
TE238,HFIX,,CBAF,M70,39MU 18-5-45 122S 9-3-46 SAAF 25-9-47
TE239,LFXVI,,CBAF,M266,19MU 4-5-45 61OTU 6-1-46 eng cut on takeoff wheels up landing Keevil CE 30-4-46 SOC 10-7-46
TE240,LFXVI,,CBAF,M266,19MU 10-5-45 CGS 8-7-45 17FTS 28-5-46 engine failed undershot landing struck garage Hibaldstow CAC 21-7-47 recat E SOC 15-8-47
TE241,LFXVI,,CBAF,M266,9MU 1-5-45 FAAC CGS 10-7-45 VA EA 4-6-48 AAEE 11-6-48 trials of GGS Mk4B sight install Sold scrap 28-11-53
TE242,LFXVI,,CBAF,M266,29MU 1-5-45 CGS 12-7-45 EAAS 13-7-48 FAAC 22-12-48 ros CGS 25-2-49 FAAC 12-5-49 6998M 8-9-52 recat 5(S) 13-11-52
TE243,LFXVI,,CBAF,M266,6MU 31-5-45 164S 19-7-46 63S 3-9-46 Collided with TE402 after landing Chivenor FAAC 24-6-47 recat E SOC 18-7-47
TE244,LFXVI,,CBAF,M266,19MU 30-4-45 61OTU 29-1-46 GAAC 7-7-47 ros 502S 28-4-49 to 6655M
TE245,LFXVI,,CBAF,M266,19MU 30-4-45 RHAF 7-6-49
TE246,LFXVI,,CBAF,M266,29MU 4-5-45 FATU 30-9-45 6OTU 15-3-46 FAAC 15-5-48 ros 236OCU 11-9-48 CE on inspection 8-7-49 scrap 13-12-49
TE247,LFXVI,,CBAF,M266,19MU 30-4-45 411S 7-6-45 401S 23-6-45 PRFU 28-8-47 Ran out of fuel and crashed 3m SW of Finningley FACS 1-5-50 AFD scrap 12-5-50
TE248,LFXVI,,CBAF,M266,6MU 1-5-45 695S 5-7-45 61OTU 17-4-47 603S 27-2-50 34S 29-5-50 C5 SOC 13-7-53
TE249,LFXVI,,CBAF,M266,6MU 1-5-45 EAAS Manby 24-6-45 RHAF 4-5-49
TE250,LFXVI,,CBAF,M266,"19MU 15-5-45 CGS 8-7-45 603S ""RAJ-C"" 19-10-46 609S 2-5-48 C4R 13-4-50 recat scrap 10-5-50"
TE251,LFXVI,,CBAF,M266,19MU 30-4-45 61OTU 16-1-46 FACB 28-6-46 60OTU 24-8-46 sold scrap bou 3-9-47
TE252,LFXVI,,CBAF,M266,39MU 1-6-45 RHAF 22-6-49
TE253,LFXVI,,CBAF,M266,9MU 16-5-45 587S 25-7-45 691S 20-6-46 hit ground in cloud Dartmoor pilot killed CE 3-1-47 SOC
TE254,LFXVI,,CBAF,M266,6MU 7-5-45 AAS Manby 24-6-45 SOC 21-10-47
TE255,LFXVI,,CBAF,M266,6MU 7-5-45 AAS Manby 24-6-45 to 6433M 10-9-47 SOC AFD 5-4-50
TE256,LFXVI,,CBAF,M266,29MU 1-5-45 FATU 26-9-45 VA EA 10-4-46 bou SOC 26-7-46
TE257,LFXVI,,CBAF,M266,29MU 4-5-45 FATU 22-9-45 103FRS 16-5-51 nes 4-6-56 sold scrap 24-10-56
TE258,LFXVI,,CBAF,M266,6MU 15-5-45 61OTU 16-1-46 FAAC 17-7-46 ros 203AFS crash-landing Keevil CAC 6-8-47 nea 15-9-47 SOC 19-3-48
TE259,LFXVI,,CBAF,M266,19MU 10-5-45 CGS 8-7-45 FATU 20-9-45 5PAFU 21-3-46 surplus 8-3-50 nea 28-3-51 sold scrap Cindal Aluminium 30-8-51
TE273,LFXVI,,CBAF,M266,MU 10-5-45 ? no record
TE274,LFXVI,,CBAF,M266,"6MU 18-5-45 151RU Reserve Pool 27-9-46 349S ""GE-K"" 12-10-46 BAF on loan pending del FXIV 26-10-46 nea 9-1-48 sold scrap Eyre Smelting 25-5-50"
TE275,LFXVI,,CBAF,M266,"9MU 18-5-45 287S 24-8-45 604S ""NG-W"" 5-11-47 crashed force-landing nr Chigwell C4R 27-11-49 ros recat E bou scrap 29-12-49"
TE276,LFXVI,,CBAF,M266,9MU 16-5-45 667S 31-7-45 ros 61OTU 10-1-46 RHAF 26-11-48
TE277,LFXVI,,CBAF,M266,6MU 23-5-45 164S 19-7-46 63S 3-9-46 595S 30-4-48 695S 23-7-48 2CAACU 17-8-51 C5 11-12-54
TE278,LFXVI,,CBAF,M266,9MU 25-5-45 587S 26-8-45 691S 20-6-46 Tipped up on soft ground and tailwheel collapsed Chivenor FAAC 18-1-47 recat E SOC 30-1-47
TE279,LFXVI,,CBAF,M266,9MU 15-5-45 667S 25-7-45 u/c jammed belly-landed at Gosport FAAC 10-9-45 recat E 30-1-46
TE280,LFXVI,,CBAF,M266,6MU 16-5-45 61OTU 14-1-46 u/c jammed belly-landed at Keevil FAAC 29-4-47 SOC 29-5-47
TE281,LFXVI,,CBAF,M266,9MU 18-5-45 667S 2-8-45 61OTU 27-12-45 FAAC 9-12-46 ros 226OCU 7-8-47 scrap 24-1-50
TE282,LFXVI,,CBAF,M266,9MU 23-5-45 695S 9-8-45 air collision with TE376 nr Bawburgh Norfolk CE 2-10-45 SOC 11-10-45
TE283,LFXVI,,CBAF,M266,29MU 24-5-45 667S 23-8-45 61OTU 27-12-45 bou sold scrap 3-9-47
TE284,LFXVI,,CBAF,M266,29MU 2-6-45 349S Fassburg 23-8-46 BAF on loan del FXIV 26-10-46 RHAF 25-2-49
TE285,LFXVI,,CBAF,M266,30-5-45 595S 13-9-45 Taxied into hangar doors Ronaldsway FACB 10-11-45 recat E SOC 17-9-46
TE286,LFXVI,,CBAF,M266,"6MU 24-5-45 MacLarens HAL 15-3-46 65S ""YT-Y"" 18-4-46 164S 11-7-46 691S 14-11-46 RFS Exeter 20-3-51 nea 16-2-53 sold scrap H.Bath 23-6-53"
TE287,LFXVI,,CBAF,M266,9MU 27-5-45 691S 5-9-45 engine failed force-landed on beach Morte Point nr Ilfracombe dbf 4-11-46
TE288,LFXVIe,,CBAF,M266,"MU 27-5-45 61OTU 501S ""RAB-D"" 102FTS to 7287M Extant RNZAF Museum"
TE289,HFIX,,CBAF,M70,33MU 29-5-45 Pershore 28-7-47 SAAF 21-8-47
TE290,HFIX,,CBAF,M70,39MU 8-6-45 122S 10-9-45 SAAF 22-8-47
TE291,LFXVI,,CBAF,M266,6MU 31-5-45 HAL 19-3-46 65S 2-5-46 SOC 30-1-47
TE292,HFIX,,CBAF,M70,39MU 1-6-45 122S 3-10-45 SAAF 23-8-49
TE293,HFIX,,CBAF,M70,39MU 4-6-45 Pershore 28-7-47 SAAF 21-8-47
TE294,HFIX,,CBAF,M70,39MU 7-6-45 122S 10-4-46 FAAC 24-9-46 ros SAAF 7-8-47
TE295,HFIX,,CBAF,M70,33MU 31-5-45 234S 30-9-45 130S 7-2-46 sold scrap Intl.Alloys 29-8-50
TE296,HFIX,,CBAF,M70,"33MU 31-5-45 122S 16-9-45 RDAF as ""436"" 31-5-48"
TE297,HFIX,,CBAF,M70,39MU 1-6-45 SAAF 20-4-49
TE298,HFIX,,CBAF,M70,33MU 28-5-45 Pershore 2-7-47 SAAF 7-8-47
TE299,HFIX,,CBAF,M70,39MU 12-6-45 122S 4-10-45 13GCF 31-1-46 bou SOC 29-1-47
TE300,LFXVI,,Desford,M266,9MU 9-7-45 595S 13-10-45 4CAACU 29-8-51 SOC 28-6-54
TE301,HFIX,,CBAF,M70,33MU 4-6-45 Pershore 28-7-47 SAAF 9-10-47
TE302,LFXVI,,CBAF,M266,"6MU 8-6-45 609S ""PR-E"" 18-8-48 AGT Gatwick refurb 10-2-51 1689Flt Aston Down 23-7-51 nes 14-12-54 sold scrap 19-6-56"
TE303,HFIX,,CBAF,M70,39MU 1-6-45 SAAF 25-5-49
TE304,HFIX,,CBAF,M70,33MU 1-6-45 GAAC 16-3-47 recat E SOC 31-7-47
TE305,HFIX,,CBAF,M70,33MU 31-5-45 122S 17-9-45 SAAF 31-7-47
TE306,HFIX,,CBAF,M70,39MU 12-6-45 122S 30-8-45 13GCF 31-1-46 SAAF 17-7-47
TE307,HFIX,,CBAF,M70,33MU 31-5-45 SAAF 23-6-48
TE308,HFIX,CBAF11432,CBAF,M70,MU 1-6-45 ? no early record sold VA 19-7-50 Cv Type 509 two seat trainer G-AWGB to IAC163 30-7-51 WOC 1961 BoB film with rear cockpit removed 1974 To CF-RAF then N92477 extant Aspen Colorado as N308WK
TE309,HFIX,,CBAF,M70,39MU 1-6-45 47MU 28-3-49 SAAF 12-10-49
TE310,LFXVI,,CBAF,M266,29MU 9-6-45 61OTU 19-2-46 FAAC 13-3-46 to 7741M Tangmere recat E SOC scrap dump 16-8-46
TE311,LFXVI,CBAF.IX.4497,CBAF,M266,39MU 16-6-45 ECFS 5-10-45 33MU 17-2-46 1689Flt 31-5-51 Tyre burst on landing Aston Down 21-6-51 ros FTU Benson 9-4-53 2CAACU 12-1-54 33MU 23-2-54 nes 13-12-54 7241M Tangmere 11-8-55 BoB film Henlow 1967 Benson gate 9-68 BBMF uner restoration
TE312,HFIX,,CBAF,M70,33MU 1-6-45 47MU 30-6-48 SAAF 27-10-48
TE313,HFIX,,CBAF,M70,33MU 1-6-45 47MU 28-6-48 SAAF 24-11-48
TE314,LFXVI,,CBAF,M266,6MU 8-6-45 614S 23-6-47 air collision with RW355 aircraft abandoned crashed Long Sutton Somerset 7-12-47 SOC 8-1-48
TE315,HFIX,,CBAF,M70,33MU 2-6-45 Pershore 10-11-47 SAAF 11-12-47
TE328,LFXVI,,CBAF,M266,9MU 7-6-45 631S 7-9-48 SOC 2-11-48
TE329,HFIX,,CBAF,M70,33MU 4-6-45 47MU 5-4-48 SAAF 23-6-48
TE330,LFXVI,,CBAF,M266,"MU 7-6-45 ? 601S ""HT-B"" to 7449M presented to USAAF 3-7-58 extant Wright Patterson Field Dayton Ohio"
TE331,HFIX,,CBAF,M70,33MU 7-6-45 47MU 5-4-48 SAAF 3-11-48
TE332,LFXVI,,CBAF,M266,6MU 15-6-45 126S 27-2-46 19S 21-3-46 Westland mods 3-3-49 scrap 23-2-50
TE333,HFIX,,CBAF,M70,33MU 4-6-45 47MU 14-4-48 SAAF 23-6-48
TE334,LFXVI,,CBAF,M266,39MU 12-6-45 61OTU 19-2-46 CB during maintenance 25-3-49 recat E 16-7-49
TE335,LFXVI,,CBAF,M266,9MU 14-6-45 605S 18-5-48 RC CommSqn 5-11-48 sold Trial and Experimental Estab Shoeburyness 21-5-51 SOC 13-9-51
TE336,HFIX,,CBAF,M70,33MU 1-6-45 Pershore 1-7-47 SAAF 4-7-47
TE337,HFIX,,CBAF,M70,33MU 2-6-45 Pershore 11-7-47 SAAF 31-7-47
TE338,LFXVI,,CBAF,M266,9MU 12-6-45 609S 9-8-48 hit obst on approach Yeadon CB 30-1-49 to 6642M 9-3-49 SOC AFD 4-4-51
TE339,LFXVI,,CBAF,M266,29MU 9-6-45 236OCU 1-8-46 crash-landed Kinloss CB 22-6-48 recat E 23-7-48
TE340,LFXVI,,CBAF,M266,6MU 8-6-45 203AFS 3-3-46 hit trees pulling out of dive Tibenham pilot killed C5 18-8-49 recat E scrap 9-9-49
TE341,LFXVI,,CBAF,M266,MU 8-6-45 ? RAF Kenley 16-8-55 sold Pinewood Studios
TE342,LFXVI,,CBAF,M266,9MU 2-6-45 APS Acklington 11-9-47 CRS Mid Wales 17-10-51 nes 16-12-54 sold scrap H.Bath 3-5-56
TE343,HFIX,,CBAF,M70,39MU 1-6-45 47MU 5-4-49 SAAF 8-9-49
TE344,LFXVI,,CBAF,M266,"9MU 13-6-45 604S ""NG-B"" 15-4-47 20S 3-4-50 FAC3 2-6-50 ros Engine cut crashed in forced landing 1m N of Bodedern Anglesey 5-7-51 scrap 19-7-51"
TE345,LFXVI,,CBAF,M266,9MU 13-6-45 631S 15-12-47 nes 13-12-54 sold scrap Lawsons Metals 15-5-56
TE346,LFXVI,,CBAF,M266,19MU 20-4-45 RHAF 26-11-48
TE347,LFXVI,,CBAF,M266,9MU 20-6-45 21OTU 7-3-46 202OTU 603S 28-7-47 609S 10-4-48 recat E 27-10-48
TE348,LFXVI,,CBAF,M266,9MU 13-6-45 203AFS dived into ground nr Wirkleigh Devon pilot killed 28-5-48
TE349,LFXVI,,CBAF,M266,39MU 4-6-45 101FRS 12-3-51 29MU 11-10-51 nes 4-6-56 sold scrap British Aluminium 22-10-56
TE350,LFXVI,,CBAF,M266,6MU 12-6-45 RHAF 30-12-48
TE351,LFXVI,,CBAF,M266,9MU 12-6-45 61OTU 12-1-46 TAAC 19-2-48 ros 203AFS force-landed crashed Westleight N Devon pilot killed CE 16-9-48 SOC
TE352,LFXVI,,CBAF,M266,39MU 25-6-45 102FRS 23-4-51 TA3R 18-6-51 ros to 6890M 7-9-51 SOC 13-6-52
TE353,LFXVI,,CBAF,M266,9MU 13-6-45 203AFS 23-9-48 TAAC 1-6-49 recat E 9-8-49 to Canada (found to be TE214)
TE354,LFXVI,,CBAF,M266,"6MU 15-6-45 HAL 20-3-46 65S 2-5-46 164S ""UB-D"" 15-8-46 691S 30-4-48 RFS Exeter 15-3-51 nea 12-6-53 sold scrap J.G.Williamson 23-10-53"
TE355,LFXVI,,Desford,M266,9MU 10-7-45 203AFS 2-3-48 FAAC 10-3-49 ros Swung on take-off and hit obstruction Chivenor 4-7-49 recat scrap 6-10-49
TE356,LFXVI,,CBAF,M266,MU 13-6-45 ? 695S 34S 2CAACU 71MU 11-3-47 to 6700M extant RAF Little Rissington to 7001M 15-9-52 Extant Bitteswell
TE357,LFXVI,,CBAF,M266,MU 13-6-45 ? no record
TE358,LFXVI,,CBAF,M266,9MU 13-6-45 Pershore 16-4-47 29MU 29-5-48 103FRS 16-5-51 nea 3-12-56 sold scrap R.J.Coley 17-4-57
TE359,LFXVI,,CBAF,M266,6MU 16-6-45 203AFS 22-3-48 603S 27-2-50 612S 25-5-50 20S 17-7-51 nea 13-6-53 sold scrap J.G.Williamson 28-10-53
TE375,LFXVI,,CBAF,M266,9MU 13-6-45 EAAS(FTC) 11-11-48 CGS 29-9-49 Caught fire and abandoned Wintringham Yorks 23-10-50
TE376,LFXVI,,Desford,M266,6MU 9-7-45 695S 3-8-45 FAAC 23-8-45 ros air collision with TE282 nr Bawburgh Norfolk CE SOC 2-10-45
TE377,LFXVI,,CBAF,M266,6MU 31-7-45 203AFS 27-10-47 610S 27-2-50 nea 12-10-50 sold MoS for Proof Experimental Estab Shoeburyness 24-1-51
TE378,LFXVI,,CBAF,M266,9MU 14-6-45 203AFS 3-3-48 226OCU wheels up landing Stradishall C3 20-10-49 recat scrap 8-11-49
TE379,LFXVI,,CBAF,M266,9MU 9-6-45 126S 25-7-46 164S 1-8-46 1PRFU 14-4-47 FAC3R 21-2-51 recat 5(S) sold MoS to Proof Experimental Estab Shoeburyness 2-7-51
TE380,LFXVI,,Desford,M266,6MU 14-7-45 587S 3-8-45 691S 20-6-46 RFS Exeter 19-3-51 scrap AFD 25-2-53
TE381,LFXVI,,CBAF,M266,6MU 15-6-45 RHAF 5-12-48
TE382,LFXVI,,CBAF,M266,6MU 16-6-45 10OTU 27-2-46 17OTU 28-2-46 FAAC 9-8-46 ros Westland mods 1-3-49 RHAF 24-8-49
TE383,LFXVI,,CBAF,M266,6MU 11-6-45 RHAF 30-12-48
TE384,LFXVIe,,CBAF,M266,9MU 11-6-45 Swung on landing and u/c collapsed CE 8-7-52 603S BoB film to 7207M To VH-XVI extant Queensland
TE385,LFXVI,,CBAF,M266,9MU 13-6-45 614S 10-3-48 612S 21-11-48 4CAACU 4-2-52 nes 16-12-54 sold scrap H.Bath 17-2-56
TE387,LFXVI,,CBAF,M266,6MU 20-7-45 19S 23-5-46 203AFS 27-10-47 wheels up landing Stradishall CB 28-7-49 recat E 18-8-49
TE388,LFXVI,,CBAF,M266,6MU 31-7-45 HQ Metro CommSqn 3-5-48 FACB 23-4-49 sold scrap R.J.Coley 3-2-50
TE389,LFXVI,,CBAF,M266,9MU 15-6-45 1APS 4-2-46 19S 25-4-46 203AFS 8-7-49 610S 27-2-50 1CAACU Bellylanded in error Hornchurch FAC3R 22-1-52 to 6990M 21-6-52 2258ATC
TE390,LFXVI,,CBAF,M266,6MU 14-6-45 595S 27-8-48 4CAACU 29-8-51 nes 14-12-54 sold scrap Eyre Smelting 18-6-56
TE391,LFXVI,,CBAF,M266,29MU 8-8-45 126S 27-2-46 19S 21-3-46 Westland mods 9-2-49 RHAF 15-8-49
TE392,LFXVI,,CBAF,M266,"MU 14-6-45 ? 65S ""YT-X"" to 7000M Waterbeach 15-9-52 extant Bitteswell"
TE393,LFXVI,,CBAF,M266,6MU 16-6-45 126S 27-2-46 19S 21-3-46 Westland mods 25-1-49 scrap 20-2-50
TE394,LFXVI,,CBAF,M266,29MU 20-6-45 65S 15-3-46 crashed force-landing nr Cambridge CB 15-7-46 recat E SOC 3-10-46
TE395,LFXVI,,CBAF,M266,9MU 13-6-45 601S 15-4-47 HQ HCCS 10-8-51 FA4R 13-8-53 C5(C)AFD 18-8-53
TE396,LFXVI,,CBAF,M266,6MU 19-6-45 26OTU 7-3-46 19S 21-3-46 103FRS 16-5-51 nea 16-2-53 sold scrap H.Bath 23-6-53
TE397,LFXVI,,CBAF,M266,29MU 9-6-45 65S 18-2-46 126S 27-2-46 19S 21-3-46 103FRS 16-5-51 5CAACU 4-7-52 C4R 4-11-53
TE398,LFXVI,,CBAF,M266,29MU 20-6-45 65S 15-3-46 164S 29-8-46 63S 3-9-46 engine failed on approach Middle Wallop heavy landing u/c collapsed port wing torn away CE 6-12-46 SOC 18-4-47
TE399,LFXVI,,CBAF,M266,29MU 22-6-45 631S 5-9-45 FAAC 2-12-47 sold scrap J.Dale 8-7-48
TE400,LFXVI,,CBAF,M266,"9MU 16-6-45 501S 7-5-48 612S ""8W-M"" 20-5-49 Radio School Middle Wallop 12-2-52 nes 14-12-54 to 7240M 28-9-55"
TE401,LFXVI,,CBAF,M266,9MU 19-7-45 587S 26-8-45 691S 20-6-46 scrap 1-2-50
TE402,LFXVI,,CBAF,M266,6MU 16-6-45 MacLarens HAL 7-3-46 65S 20-3-46 164S 11-7-46 63S 3-9-46 FAAC 24-6-47 ros 595S 16-6-48 695S 28-7-48 1CAACU 7-12-50 Bellylanded at Hornchurch FAC3R 25-1-56
TE403,LFXVI,,CBAF,M266,"9MU 25-6-45 501S ""RAB-G"" 5-2-47 FAAC 9-10-48 ros CRS Middle Wallop 17-10-51 C3R 16-10-52 ros nes 14-12-54 sold scrap H.Bath 1-5-56"
TE404,LFXVI,,Desford,M266,6MU 14-7-45 667S 30-7-45 Overshot landing and u/c collapsed Shoreham FAAC 28-8-45 ros recat E SOC 22-12-45
TE405,LFXVI,,Desford,M266,29MU 17-7-45 CGS 2-4-46 nes 14-12-54 sold scrap Eyre Smelting 13-6-56
TE406,LFXVI,,Desford,M266,9MU 9-7-45 61OTU 7-3-46 203AFS flew into high ground in bad weather Brent Moor Buckfastleigh Devon CE 23-10-47 SOC 5-12-47
TE407,LFXVI,,CBAF,M266,"6MU 15-6-45 MacLarens HAL 7-3-46 65S 8-4-46 164S ""UB-E"" 11-7-46 63S ""UB-E"" 3-9-46 203AFS 6-5-48 Swung on landing and u/c collapsed Kirkbride FAC3R 31-10-56 sold scrap Lawsons Metals 29-1-57"
TE408,LFXVI,,CBAF,M266,9MU 16-6-45 126S 7-3-46 19S 21-3-46 Westland mods 8-2-49 scrap 23-2-50
TE434,LFXVI,,CBAF,M266,29MU 22-6-45 667S 23-8-45 61OTU 27-12-45 bou sold scrap 3-9-47
TE435,LFXVI,,Desford,M266,29MU 25-7-45 631S 16-3-46 force-landed crashed on beach Merioneth CE 24-11-48 SOC 3-8-49
TE436,LFXVI,,CBAF,M266,"6MU 2-8-45 614S 10-4-47 604S ""NG-F"" 30-9-48 103FRS 16-7-51 nea 12-6-53 sold scrap J.G.Williamson 23-10-53"
TE437,LFXVI,,CBAF,M266,9MU 16-6-45 603S 9-4-47 609S 22-3-48 Bounced on landing and tipped up Yeadon FAC3R 20-4-50 recat scrap 16-5-50
TE438,LFXVI,,CBAF,M266,6MU 22-6-45 MacLarens HAL 7-3-46 65S 11-4-46 SOC 5-2-47
